CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventYear,EventType,lon_x1,lat_y1,lon_x2,lat_y2
Perseus,Flora Mamaia,RO,Black Sea,194,Urban,Sandy,20150111,2015,Cleanup,28.63002627,44.22886691,28.62917035,44.23050537
Perseus,Mangalia 2,RO,Black Sea,2081,Urban,Sandy,20150113,2015,Cleanup,28.5891891,43.80922106,28.59271215,43.82778026
Perseus,Mangalia 1,RO,Black Sea,2081,Urban,Sandy,20150113,2015,Cleanup,28.58960172,43.80935175,28.59300129,43.82791516
Perseus,Venus-Saturn,RO,Black Sea,1421,Urban,Sandy,20150113,2015,Cleanup,28.59641782,43.84202317,28.59253421,43.82955037
Perseus,Mangalia sulphorous gulf,RO,Black Sea,2097,Urban,Sandy,20150113,2015,Cleanup,28.59268442,43.82811717,28.58947249,43.80938513
Perseus,Mangalia - Diana beach,RO,Black Sea,2121,Urban,Sandy,20150113,2015,Cleanup,28.59277312,43.82814497,28.58918661,43.80923706
Perseus,Port des Canonge,ES,Mediterranean Sea,82,Urban,Pebbels,20150115,2015,Cleanup,2.554498935,39.70007968,2.555432344,39.69994761
Perseus,Marina di Vecchiano,IT,Mediterranean Sea,629,Near river mouth,Sandy,20150115,2015,Cleanup,10.26860577,43.78503727,10.26567993,43.7902881
Perseus,Gradina,BG,Black Sea,124,Urban,Sandy,20150119,2015,Cleanup,27.66981916,42.40895472,27.66837124,42.40924141
Archipelagos,Church Beach,GR,Mediterranean Sea,0,Rural,Other (mixed),20150119,2015,Cleanup,26.96849349,37.6984206,26.96849349,37.6984206
Perseus,Alepu,BG,Black Sea,105,Rural,Sandy,20150121,2015,Cleanup,27.70921843,42.36708233,27.70950129,42.36616388
Perseus,Alepu,BG,Black Sea,105,Rural,Sandy,20150121,2015,Cleanup,27.70921843,42.36708233,27.70950129,42.36616388
Surfrider Foundation Europe,"96 Plage Sud, 40560 Vielle-Saint-Girons, France",FR,North-east Atlantic Ocean,80,,,20150201,2015,Cleanup,-1.36404,43.9524,-1.36304,43.9524
Surfrider Foundation Europe,"5266F Boulevard des Salins, 34750 Villeneuve-l?s-Maguelone, France",FR,Mediterranean Sea,81,,,20150212,2015,Cleanup,3.84866,43.5189,3.84966,43.5189
Marnoba,"Els Militars, Barcelona",ES,Mediterranean Sea,100,Urban,Sandy,20150213,2015,Cleanup,2.077549183,41.27765896,2.078549183,41.27765896
gBqsPxAZ,han,DE,Baltic Sea,19841,,,20150213,2015,Cleanup,11.91640511,53.97631944,11.9299882,54.1543934
Marnoba,"Barrañán, A Coru_",ES,North-east Atlantic Ocean,100,Rural,Sandy,20150213,2015,Cleanup,-8.551274686,43.31019859,-8.550274686,43.31019859
Surfrider Foundation Europe,La Barre,FR,North-east Atlantic Ocean,102,Near river mouth,Sandy,20150219,2015,Cleanup,-1.523721865,43.52858166,-1.524221047,43.52774094
Perseus,Marseille_Huveaune,FR,Mediterranean Sea,240,Near river mouth,Sandy,20150225,2015,Cleanup,5.374453182,43.25967555,5.375725815,43.25772801
Surfrider Foundation Europe,"4756 Route de la Plage, 40560 Vielle-Saint-Girons, France",FR,North-east Atlantic Ocean,80,,,20150301,2015,Cleanup,-1.3607,43.968,-1.3597,43.968
Archipelagos Institute of Marine Conservation,"Aghios Nikolaos,1",GR,Mediterranean Sea,46,Rural,Pebbels,20150303,2015,Cleanup,26.9669381,37.69734912,26.96735653,37.69758682
